indicator_code,current_name,name_as_in_source,definitive_name,frequency,unit_as_in_source,indicator_source_name,region_name,indicator_type,functionality,,
,"Brazil BF Coke rate, kg/thm",,"Brazil BF Coke rate, kg/thm",constant,KG/thm,Vale,China,Coke,Margins;Costs,,
,"Brazil BF Fixed costs, $/t",,"Brazil BF Fixed costs, $/t",daily,USD/T,MultiSource,China,Steel,Margins,,
,"Brazil BF PCI, kg/thm",,"Brazil BF PCI, kg/thm",constant,KG/thm,Vale,China,Steel; Coal; PCI,Margins,,
,"Brazil BF Variable costs, $/t",,"Brazil BF Variable costs, $/t",daily,USD/T,MultiSource,China,Steel,Margins,,
,Brazil Billet/Slab Cost,,Brazil Billet/Slab Cost,daily,USD/T,Vale,China,Steel;Billet;Slab,Margins,,
,Brazil Burden Cost,,Brazil Burden Cost,daily,USD/T,Vale,China,Steel,Margins,,
BZVPTLVH Index,Brazil car production,Anfavea Brazil Vehicle Production,Anfavea Brazil Vehicle Production,monthly,,Bloomberg,South America,Macroeconomic,Industrial,,
BZVLTLVH Index,Brazil car sales,Anfavea Brazil Vehicle Sales Licensed,Anfavea Brazil Vehicle Sales Licensed,monthly,,Bloomberg,South America,Macroeconomic,Industrial,,
,Brazil Coil Rebar Cost,,Brazil Coil Rebar Cost,daily,USD/T,Vale,China,Steel; Rebar,Margins,,
,Brazil Coke Cost,,Brazil Coke Cost,daily,USD/T,Vale,China,Coke,Margins,,
,"Brazil Coke Making Fixed costs, $/t",,"Brazil Coke Making Fixed costs, $/t",daily,USD/T,Vale,China,Coke,Margins,,
,"Brazil Coke Making HCC, %",,"Brazil Coke Making HCC, %",constant,%,Vale,China,Coke,Margins;Costs,,
,"Brazil Coke Making SSCC, %",,"Brazil Coke Making SSCC, %",constant,%,Vale,China,Coke,Margins;Costs,,
,"Brazil Coke Making Variable costs, $/t",,"Brazil Coke Making Variable costs, $/t",daily,USD/T,Vale,China,Coke,Margins,,
BZCFAVG Index,Brazil Construction spending,Brazil Construction Average Cost,Brazil Construction Average Cost,monthly,BRL,Bloomberg,South America,Macroeconomic,Industrial,,
,Brazil Crude Steel Cost,,Brazil Crude Steel Cost,daily,USD/T,Vale,China,Steel,Margins,,
,Brazil Currency Exchange Cost,,Brazil Currency Exchange Cost,daily,USD/T,Vale,China,Steel,Margins,,
BZIEDUGS Index,Brazil Durable goods production,Brazil Durable Consumer Goods SA,Brazil Durable Consumer Goods SA,monthly,,Bloomberg,South America,Macroeconomic,Industrial,,
,Brazil Final Product Cost,,Brazil Final Product Cost,daily,USD/T,Vale,China,Steel,Margins,,
BZJCGTOT Index,Brazil Formal Job Creation,Brazil CAGED Government Registered Job Creation Total NAdj,Brazil CAGED Government Registered Job Creation Total NAdj,monthly,,Bloomberg,South America,Macroeconomic,Financial,,
,Brazil Fuel Cost,,Brazil Fuel Cost,daily,USD/T,Vale,China,Steel,Margins,,
BZGDGOVY Index,"Brazil Government Consumption (%YoY, Qtrly)",Brazil GDP Qtrly YoY Govt Consumption 1995=100,Brazil GDP Qtrly YoY Govt Consumption 1995=100,quarterly,%,Bloomberg,South America,Macroeconomic,Financial,,
,"Brazil HM, %",,"Brazil HM, %",constant,%,Vale,China,Steel,Margins;Costs,,
,Brazil Hot Metal Cost,,Brazil Hot Metal Cost,daily,USD/T,Vale,China,Steel,Margins,,
BZEAYOY% Index,Brazil IBC-BR (%YoY),Brazil Economic Activity GDP YOY% IBC-BR,Brazil Economic Activity GDP YOY% IBC-BR,monthly,%,Bloomberg,South America,Macroeconomic,Financial,,
BZEAMOM% Index,Brazil IBC-BR (MoM %),Brazil Economic Activity GDP MOM% IBC-BR,Brazil Economic Activity GDP MOM% IBC-BR,monthly,%,Bloomberg,South America,Macroeconomic,Financial,,
BZPIIPCY Index,Brazil Inflation rate (IPCA YoY),Brazil CPI IPCA YoY,Brazil CPI IPCA YoY,monthly,%,Bloomberg,South America,Macroeconomic,Financial,,
BZMTTARG Index,Brazil Inflation rate target (IPCA %),Brazil Central Bank Annual Center IPCA Inflation Target,Brazil Central Bank Annual Center IPCA Inflation Target,yearly,%,Bloomberg,South America,Macroeconomic,Financial,,
,"Brazil Lump, %",,"Brazil Lump, %",constant,%,Vale,China,Iron Ore; Lumps,Margins;Costs,,
,Brazil Margin,,Steel Margin (HRC) Brazil ,monthly,USD/T,MultiSource,South America,Steel;HRC,Margins,,
,Brazil Operational Rate Cost,,Brazil Operational Rate Cost,daily,USD/T,Vale,China,Steel,Margins,,
,"Brazil Pellet, %",,"Brazil Pellet, %",constant,%,Vale,China,Iron Ore;Pellets,Margins;Costs,,
BZGDFAMY Index,"Brazil Private Consumption (%YoY, Qtrly)",Brazil GDP Qtrly YoY Family Consumption 1995=100,Brazil GDP Qtrly YoY Family Consumption 1995=100,quarterly,%,Bloomberg,South America,Macroeconomic,Financial,,
BZGDQOQ% Index,Brazil Real GDP (%QoQ),Brazil GDP QoQ SA 1995=100,Brazil GDP QoQ SA 1995=100,quarterly,%,Bloomberg,South America,Macroeconomic,Financial,,
,"Brazil Scrap, %",,"Brazil Scrap, %",constant,%,Vale,China,Metallics;Scrap,Margins,,
BZSTSETA Index,Brazil Selic Target Rate (%),Brazil Selic Target Rate,Brazil Selic Target Rate,daily,%,Bloomberg,South America,Macroeconomic,Financial,,
,Brazil Sinter Cost,,Brazil Sinter Cost,daily,USD/T,Vale,China,Steel; Iron Ore; Sinter Fines,Margins,,
,"Brazil Sinter, %",,"Brazil Sinter, %",constant,%,Vale,China,Steel; Iron Ore; Sinter Fines,Margins,,
,"Brazil Sintering Fixed costs, $/t",,"Brazil Sintering Fixed costs, $/t",daily,USD/T,Vale,China,Steel; Iron Ore; Sinter Fines,Margins,,
,"Brazil Sintering IO, kg/t",,"Brazil Sintering IO, kg/t",constant,KG/T,Vale,China,Steel; Iron Ore; Sinter Fines,Margins,,
,"Brazil Sintering Variable costs, $/t",,"Brazil Sintering Variable costs, $/t",daily,USD/T,Vale,China,Steel; Iron Ore; Sinter Fines,Margins,,
,Brazil Slab - CIS Slab,,Price spread Brazil Slab - CIS Slab,weekly,USD/T,Platts,Global,Steel;Slab,Spreads,,
,Brazil Slab / US HRC,,Price ratio Brazil Slab / US HRC,daily,USD/T,Platts,Global,Steel;Slab;HRC,Ratios,,
,"Brazil Slab/Billet Fixed cost, $/t",,"Brazil Slab/Billet Fixed cost, $/t",daily,USD/T,Vale,China,Steel;Billet;Slab,Margins,,
,"Brazil Slab/Billet Yield, %",,"Brazil Slab/Billet Yield, %",constant,%,Vale,China,Steel;Billet;Slab,Margins;Costs,,
,"Brazil Steel Fixed cost, $/t",,"Brazil Steel Fixed cost, $/t",daily,USD/T,Vale,China,Steel,Margins,,
,"Brazil Steel Making Fixed costs, $/t",,"Brazil Steel Making Fixed costs, $/t",daily,USD/T,Vale,China,Steel,Margins,,
,"Brazil Steel Making Variable costs, $/t",,"Brazil Steel Making Variable costs, $/t",daily,USD/T,Vale,China,Steel,Margins,,
,"Brazil Steel Making Yield, %",,"Brazil Steel Making Yield, %",constant,%,Vale,China,Steel,Margins;Costs,,
,Brazil Steel Opex Rate,,Brazil Steel Opex Rate,constant,%,Vale,China,Steel,Margins;Costs,,
,"Brazil Steel Steel, %",,"Brazil Steel Steel, %",constant,%,Vale,China,Steel,Margins;Costs,,
,"Brazil Steel Yield, %",,"Brazil Steel Yield, %",constant,%,Vale,China,Steel,Margins;Costs,,
BZTBBALM Index,Brazil Total Trade Balance FOB (USD mn),Brazil Trade Balance FOB Balance NSA,Brazil Trade Balance FOB Balance NSA,monthly,USD,Bloomberg,South America,Macroeconomic,Financial,,
BZUETAYL Index,Brazil Unemployment rate (%),BR Unemployment Rate - Taylor Rule,BR Unemployment Rate - Taylor Rule,monthly,%,Bloomberg,South America,Macroeconomic,Financial,,
BZVPTRUC Index,Brazil Vehicle Production - Trucks,Anfavea Brazil Vehicle Production Trucks,Anfavea Brazil Vehicle Production Trucks,monthly,BRL,Bloomberg,South America,Macroeconomic,Industrial,,
MPMICNMA Index,Caixin China Manufacturing PMI SA,Caixin China Manufacturing PMI SA,Caixin China Manufacturing PMI SA,monthly,,Bloomberg,China,Macroeconomic,Industrial;Financial,,
BZCNCNIS Index,Capacity Utilization SA,CNI Brazil Manufacture Industry Capacity Utilization SA,CNI Brazil Manufacture Industry Capacity Utilization SA,monthly,,Bloomberg,South America,Metallics;Pig Iron,Production;Mills,,
ID00182598,Carbon semi-finished steel:Mainstream warehousingInventory:Tangshan(Weekly),Carbon semi-finished steel:Mainstream warehousingInventory:Tangshan(Weekly),Carbon semi-finished steel: Inventory at Mainstream warehousing: Tangshan,weekly,10KT,Mysteel,China,Steel;Billet;Slab,Stocks; Cities,,
,China (HRC) Billet/Slab Cost,,China (HRC) Billet/Slab Cost,daily,USD/T,Vale,China,Steel; HRC; Billet; Slab,Margins,,
,China (HRC) Burden Cost,,China (HRC) Burden Cost,daily,USD/T,Vale,China,"Steel, HRC",Margins,,
,China (HRC) Crude Steel Cost,,China (HRC) Crude Steel Cost,daily,USD/T,Vale,China,"Steel, HRC",Margins,,
,China (HRC) Final Product Cost,,China (HRC) Final Product Cost,daily,USD/T,Vale,China,"Steel, HRC",Margins,,
,China (HRC) Fuel Cost,,China (HRC) Fuel Cost,daily,USD/T,Vale,China,"Steel, HRC",Margins,,
,China (HRC) Hot Metal Cost,,China (HRC) Hot Metal Cost,daily,USD/T,Vale,China,"Steel, HRC",Margins,,
,China (HRC) Lag Billet/Slab Cost,,China (HRC) Lag Billet/Slab Cost,daily,USD/T,Vale,China,Steel; HRC; Billet; Slab,Margins,,
,China (HRC) Lag Burden Cost,,China (HRC) Lag Burden Cost,daily,USD/T,Vale,China,"Steel, HRC",Margins,,
,China (HRC) Lag Crude Steel Cost,,China (HRC) Lag Crude Steel Cost,daily,USD/T,Vale,China,"Steel, HRC",Margins,,
,China (HRC) Lag Final Product Cost,,China (HRC) Lag Final Product Cost,daily,USD/T,Vale,China,"Steel, HRC",Margins,,
,China (HRC) Lag Fuel Cost,,China (HRC) Lag Fuel Cost,daily,USD/T,Vale,China,"Steel, HRC",Margins,,
,China (HRC) Lag Hot Metal Cost,,China (HRC) Lag Hot Metal Cost,daily,USD/T,Vale,China,"Steel, HRC",Margins,,
,China (HRC) Lag Margin,,Steel Margin (HRC) China Lag ,daily,RMB/T,MultiSource,China,Steel;HRC;BOF,Margins,,
,China (HRC) Margin,,Steel Margin (HRC) China,daily,RMB/T,MultiSource,China,Steel;HRC;BOF,Margins,,
,China (Rebar) Billet/Slab Cost,,China (Rebar) Billet/Slab Cost,daily,USD/T,Vale,China,Steel; Rebar; Billet; Slab,Margins,,
,China (Rebar) Burden Cost,,China (Rebar) Burden Cost,daily,USD/T,Vale,China,Steel; Rebar,Margins,,
,China (Rebar) Crude Steel Cost,,China (Rebar) Crude Steel Cost,daily,USD/T,Vale,China,Steel; Rebar,Margins,,
,China (Rebar) Final Product Cost,,China (Rebar) Final Product Cost,daily,USD/T,Vale,China,Steel; Rebar,Margins,,
,China (Rebar) Fuel Cost,,China (Rebar) Fuel Cost,daily,USD/T,Vale,China,Steel; Rebar,Margins,,
,China (Rebar) Hot Metal Cost,,China (Rebar) Hot Metal Cost,daily,USD/T,Vale,China,Steel; Rebar,Margins,,
,China (Rebar) Lag Billet/Slab Cost,,China (Rebar) Lag Billet/Slab Cost,daily,USD/T,Vale,China,Steel; Rebar; Billet; Slab,Margins,,
,China (Rebar) Lag Burden Cost,,China (Rebar) Lag Burden Cost,daily,USD/T,Vale,China,Steel; Rebar,Margins,,
,China (Rebar) Lag Crude Steel Cost,,China (Rebar) Lag Crude Steel Cost,daily,USD/T,Vale,China,Steel; Rebar,Margins,,
,China (Rebar) Lag Final Product Cost,,China (Rebar) Lag Final Product Cost,daily,USD/T,Vale,China,Steel; Rebar,Margins,,
,China (Rebar) Lag Fuel Cost,,China (Rebar) Lag Fuel Cost,daily,USD/T,Vale,China,Steel; Rebar,Margins,,
,China (Rebar) Lag Hot Metal Cost,,China (Rebar) Lag Hot Metal Cost,daily,USD/T,Vale,China,Steel; Rebar,Margins,,
,China (Rebar) Lag Margin,,Steel Margin (Rebar) China Lag ,daily,RMB/T,MultiSource,China,Steel;Rebar;BOF,Margins,,
,China (Rebar) Margin,,Steel Margin (Rebar) China  ,daily,RMB/T,MultiSource,China,Steel;Rebar;BOF,Margins,,
,China 30 scrap/70 pig iron EAF Margin,,Steel Margin China 30 scrap/70 pig iron EAF ,daily,RMB/T,MultiSource,China,Steel;Rebar;EAF,Margins,,
,China 70 scrap/30 pig iron EAF Margin,,Steel Margin China 70 scrap/30 pig iron EAF ,daily,RMB/T,MultiSource,China,Steel;Rebar;EAF,Margins,,
,"China BF Coke rate, kg/thm",,"China BF Coke rate, kg/thm",constant,KG/thm,Vale,China,Coke,Margins;Costs,,
,"China BF Fixed costs, $/t",,"China BF Fixed costs, $/t",daily,USD/T,Vale,China,Steel,Margins,,
,"China BF PCI, kg/thm",,"China BF PCI, kg/thm",constant,KG/thm,Vale,China,Steel; Coal; PCI,Margins,,
,"China BF Variable costs, $/t",,"China BF Variable costs, $/t",daily,USD/T,Vale,China,Steel,Margins,,
,China Billet/Slab Cost,,China Billet/Slab Cost,daily,USD/T,Vale,China,Steel;Billet;Slab,Margins,,
,China Burden Cost,,China Burden Cost,daily,USD/T,Vale,China,Steel,Margins,,
