indicator_name,indicator_feature_combined
Brazilian Blend Fines CFR Qingdao $/DMT,"Brazilian Blend Fines CFR Qingdao $/DMT_daily_daily_China_Platts_Sinter Fines, Iron Ore"
Brazilian Blend Fines CFR Qingdao (Floating) $/DMT,"Brazilian Blend Fines CFR Qingdao (Floating) $/DMT_daily_daily_South America_Platts_Iron Ore, Sinter Fines"
Brazilian Blend Fines CFR Qingdao Brand Differential $/DMT,"Brazilian Blend Fines CFR Qingdao Brand Differential $/DMT_daily_daily_South America_Platts_Iron Ore, Sinter Fines"
Brazilian Concentrates: 66% Fe: Qingdao port,"Brazilian Concentrates: 66% Fe: Qingdao port_daily_daily_China_Mysteel_Concentrates, Iron Ore"
Brazilian High-Si:60% Fe: Beilun,"Brazilian High-Si:60% Fe: Beilun_daily_daily_China_Mysteel_Sinter Fines, Iron Ore"
Brazilian High-Si:60% Fe: Jiangyin,"Brazilian High-Si:60% Fe: Jiangyin_daily_daily_China_Mysteel_Iron Ore, Sinter Fines"
Brazilian High-Si:60% Fe: Lianyungang,"Brazilian High-Si:60% Fe: Lianyungang_daily_daily_China_Mysteel_Iron Ore, Sinter Fines"
Brazilian Lump: 63%Fe: Brand Price: Beilun port,"Brazilian Lump: 63%Fe: Brand Price: Beilun port_daily_daily_China_Mysteel_Iron Ore, Lumps"
Brazilian Lump: 63%Fe: Brand Price: Caofeidian port,"Brazilian Lump: 63%Fe: Brand Price: Caofeidian port_daily_daily_China_Mysteel_Iron Ore, Lumps"
Brazilian Lump: 63%Fe: Brand Price: Fangchenggang port,"Brazilian Lump: 63%Fe: Brand Price: Fangchenggang port_daily_daily_China_Mysteel_Lumps, Iron Ore"
Brazilian Lump: 63%Fe: Brand Price: Jiangyin port,"Brazilian Lump: 63%Fe: Brand Price: Jiangyin port_daily_daily_China_Mysteel_Iron Ore, Lumps"
Brazilian Lump: 63%Fe: Brand Price: Jingtang port,"Brazilian Lump: 63%Fe: Brand Price: Jingtang port_daily_daily_China_Mysteel_Iron Ore, Lumps"
Brazilian Lump: 63%Fe: Brand Price: Lianyungang port,"Brazilian Lump: 63%Fe: Brand Price: Lianyungang port_daily_daily_China_Mysteel_Iron Ore, Lumps"
Brazilian Lump: 63%Fe: Brand Price: Nantong port,"Brazilian Lump: 63%Fe: Brand Price: Nantong port_daily_daily_China_Mysteel_Lumps, Iron Ore"
Brazilian Lump: 63%Fe: Brand Price: Qingdao port,"Brazilian Lump: 63%Fe: Brand Price: Qingdao port_daily_daily_China_Mysteel_Lumps, Iron Ore"
Brazilian fines: 65%Fe: Seaborne Spot Price Index: Qingdao port,"Brazilian fines: 65%Fe: Seaborne Spot Price Index: Qingdao port_daily_daily_China_Mysteel_Sinter Fines, Iron Ore"
Brazilian fines: 65%Fe: Spot Price Index: Caofeidian port,"Brazilian fines: 65%Fe: Spot Price Index: Caofeidian port_daily_daily_China_Mysteel_Iron Ore, Sinter Fines"
Brazilian fines: 65%Fe: Spot Price Index: Fangchenggang port,"Brazilian fines: 65%Fe: Spot Price Index: Fangchenggang port_daily_daily_China_Mysteel_Sinter Fines, Iron Ore"
